31
31
['0', '1']
['0', '2']
['0', '3']
['0', '4']
['0', '5']
['0', '6']
['0', '7']
['0', '8']
['0', '9']
['0', '10']
['0', '11']
['0', '12']
['0', '13']
['0', '14']
['0', '15']
['0', '16']
['0', '17']
['0', '18']
['0', '19']
['0', '20']
['0', '21']
['0', '22']
['0', '23']
['0', '24']
['0', '25']
['0', '26']
['0', '27']
['0', '28']
['0', '29']
['0', '30']
['258', '259', '8']
['259', '260', '8']
['260', '261', '8']
['261', '262', '8']
['262', '263', '8']
['263', '264', '8']
['264', '265', '8']
['265', '266', '8']
['266', '267', '8']
['267', '268', '8']
['268', '269', '8']
['269', '270', '8']
['270', '271', '8']
['271', '272', '8']
['272', '273', '8']
['273', '274', '8']
['274', '275', '8']
['275', '276', '8']
['276', '277', '8']
['277', '278', '8']
['279', '280', '9']
['280', '281', '9']
['281', '282', '9']
['282', '283', '9']
['283', '284', '9']
['284', '285', '9']
['285', '286', '9']
['286', '287', '9']
['287', '288', '9']
['288', '289', '9']
['289', '290', '9']
['290', '291', '9']
['291', '292', '9']
['292', '293', '9']
['293', '294', '9']
['294', '295', '9']
['295', '296', '9']
['296', '297', '9']
['297', '298', '9']
['298', '299', '9']
['299', '300', '9']
['300', '301', '9']
['301', '302', '9']
['302', '303', '9']
['303', '304', '9']
['304', '305', '9']
['305', '306', '9']
['306', '307', '9']
['307', '308', '9']
['308', '309', '9']
['310', '311', '10']
['311', '312', '10']
['312', '313', '10']
['313', '314', '10']
['314', '315', '10']
['315', '316', '10']
['316', '317', '10']
['317', '318', '10']
['318', '319', '10']
['319', '320', '10']
['320', '321', '10']
['321', '322', '10']
['322', '323', '10']
['323', '324', '10']
['324', '325', '10']
['325', '326', '10']
['326', '327', '10']
['327', '328', '10']
['328', '329', '10']
['329', '330', '10']
['330', '331', '10']
['331', '332', '10']
['332', '333', '10']
['333', '334', '10']
['334', '335', '10']
['335', '336', '10']
['336', '337', '10']
['337', '338', '10']
['338', '339', '10']
['339', '340', '10']
['341', '342', '11']
['342', '343', '11']
['343', '344', '11']
['344', '345', '11']
['345', '346', '11']
['346', '347', '11']
['347', '348', '11']
['348', '349', '11']
['349', '350', '11']
['350', '351', '11']
['351', '352', '11']
['352', '353', '11']
['353', '354', '11']
['354', '355', '11']
['355', '356', '11']
['356', '357', '11']
['357', '358', '11']
['358', '359', '11']
['359', '360', '11']
['360', '361', '11']
['361', '362', '11']
['362', '363', '11']
['363', '364', '11']
['364', '365', '11']
['365', '366', '11']
['366', '367', '11']
['367', '368', '11']
['368', '369', '11']
['369', '370', '11']
['370', '371', '11']
['372', '373', '12']
['373', '374', '12']
['374', '375', '12']
['375', '376', '12']
['376', '377', '12']
['377', '378', '12']
['378', '379', '12']
['379', '380', '12']
['380', '381', '12']
['381', '382', '12']
['382', '383', '12']
['383', '384', '12']
['384', '385', '12']
['385', '386', '12']
['386', '387', '12']
['387', '388', '12']
['388', '389', '12']
['389', '390', '12']
['390', '391', '12']
['391', '392', '12']
['392', '393', '12']
['393', '394', '12']
['394', '395', '12']
['395', '396', '12']
['396', '397', '12']
['397', '398', '12']
['398', '399', '12']
['399', '400', '12']
['400', '401', '12']
['401', '402', '12']
['403', '404', '13']
['404', '405', '13']
['405', '406', '13']
['406', '407', '13']
['407', '408', '13']
['408', '409', '13']
['409', '410', '13']
['410', '411', '13']
['411', '412', '13']
['412', '413', '13']
['413', '414', '13']
['414', '415', '13']
['415', '416', '13']
['416', '417', '13']
['417', '418', '13']
['418', '419', '13']
['419', '420', '13']
['420', '421', '13']
['421', '422', '13']
['422', '423', '13']
['423', '424', '13']
['424', '425', '13']
['425', '426', '13']
['426', '427', '13']
['427', '428', '13']
['428', '429', '13']
['429', '430', '13']
['430', '431', '13']
['431', '432', '13']
['432', '433', '13']
['434', '435', '14']
['435', '436', '14']
['436', '437', '14']
['437', '438', '14']
['438', '439', '14']
['439', '440', '14']
['440', '441', '14']
['441', '442', '14']
['442', '443', '14']
['443', '444', '14']
['444', '445', '14']
['445', '446', '14']
['446', '447', '14']
['447', '448', '14']
['448', '449', '14']
['449', '450', '14']
['450', '451', '14']
['451', '452', '14']
['452', '453', '14']
['453', '454', '14']
['454', '455', '14']
['455', '456', '14']
['456', '457', '14']
['457', '458', '14']
['458', '459', '14']
['459', '460', '14']
['460', '461', '14']
['461', '462', '14']
['462', '463', '14']
['463', '464', '14']
['465', '466', '15']
['466', '467', '15']
['467', '468', '15']
['468', '469', '15']
['469', '470', '15']
['470', '471', '15']
['471', '472', '15']
['472', '473', '15']
['473', '474', '15']
['474', '475', '15']
['475', '476', '15']
['476', '477', '15']
['477', '478', '15']
['478', '479', '15']
['479', '480', '15']
['480', '481', '15']
['481', '482', '15']
['482', '483', '15']
['483', '484', '15']
['484', '485', '15']
['485', '486', '15']
['486', '487', '15']
['487', '488', '15']
['488', '489', '15']
['489', '490', '15']
['490', '491', '15']
['491', '492', '15']
['492', '493', '15']
['493', '494', '15']
['494', '495', '15']
['496', '497', '16']
['497', '498', '16']
['498', '499', '16']
['499', '500', '16']
['500', '501', '16']
['501', '502', '16']
['502', '503', '16']
['503', '504', '16']
['504', '505', '16']
['505', '506', '16']
['506', '507', '16']
['507', '508', '16']
['508', '509', '16']
['509', '510', '16']
['510', '511', '16']
['511', '512', '16']
['512', '513', '16']
['513', '514', '16']
['514', '515', '16']
['515', '516', '16']
['516', '517', '16']
['517', '518', '16']
['518', '519', '16']
['519', '520', '16']
['520', '521', '16']
['521', '522', '16']
['522', '523', '16']
['523', '524', '16']
['524', '525', '16']
['525', '526', '16']
['527', '528', '17']
['528', '529', '17']
['529', '530', '17']
['530', '531', '17']
['531', '532', '17']
['532', '533', '17']
['533', '534', '17']
['534', '535', '17']
['535', '536', '17']
['536', '537', '17']
['537', '538', '17']
['538', '539', '17']
['539', '540', '17']
['540', '541', '17']
['541', '542', '17']
['542', '543', '17']
['543', '544', '17']
['544', '545', '17']
['545', '546', '17']
['546', '547', '17']
['547', '548', '17']
['548', '549', '17']
['549', '550', '17']
['550', '551', '17']
['551', '552', '17']
['552', '553', '17']
['553', '554', '17']
['554', '555', '17']
['555', '556', '17']
['556', '557', '17']
['558', '559', '18']
['559', '560', '18']
['560', '561', '18']
['561', '562', '18']
['562', '563', '18']
['563', '564', '18']
['564', '565', '18']
['565', '566', '18']
['566', '567', '18']
['567', '568', '18']
['568', '569', '18']
['569', '570', '18']
['570', '571', '18']
['571', '572', '18']
['572', '573', '18']
['573', '574', '18']
['574', '575', '18']
['575', '576', '18']
['576', '577', '18']
['577', '578', '18']
['578', '579', '18']
['579', '580', '18']
['580', '581', '18']
['581', '582', '18']
['582', '583', '18']
['583', '584', '18']
['584', '585', '18']
['585', '586', '18']
['586', '587', '18']
['587', '588', '18']
['589', '590', '19']
['590', '591', '19']
['591', '592', '19']
['592', '593', '19']
['593', '594', '19']
['594', '595', '19']
['595', '596', '19']
['596', '597', '19']
['597', '598', '19']
['598', '599', '19']
['599', '600', '19']
['600', '601', '19']
['601', '602', '19']
['602', '603', '19']
['603', '604', '19']
['604', '605', '19']
['605', '606', '19']
['606', '607', '19']
['607', '608', '19']
['608', '609', '19']
['609', '610', '19']
['610', '611', '19']
['611', '612', '19']
['612', '613', '19']
['613', '614', '19']
['614', '615', '19']
['615', '616', '19']
['616', '617', '19']
['617', '618', '19']
['618', '619', '19']
['620', '621', '20']
['621', '622', '20']
['622', '623', '20']
['623', '624', '20']
['624', '625', '20']
['625', '626', '20']
['626', '627', '20']
['627', '628', '20']
['628', '629', '20']
['629', '630', '20']
['630', '631', '20']
['631', '632', '20']
['632', '633', '20']
['633', '634', '20']
['634', '635', '20']
['635', '636', '20']
['636', '637', '20']
['637', '638', '20']
['638', '639', '20']
['639', '640', '20']
['640', '641', '20']
['641', '642', '20']
['642', '643', '20']
['643', '644', '20']
['644', '645', '20']
['645', '646', '20']
['646', '647', '20']
['647', '648', '20']
['648', '649', '20']
['649', '650', '20']
['651', '652', '21']
['652', '653', '21']
['653', '654', '21']
['654', '655', '21']
['655', '656', '21']
['656', '657', '21']
['657', '658', '21']
['658', '659', '21']
['659', '660', '21']
['660', '661', '21']
['661', '662', '21']
['662', '663', '21']
['663', '664', '21']
['664', '665', '21']
['665', '666', '21']
['666', '667', '21']
['667', '668', '21']
['668', '669', '21']
['669', '670', '21']
['670', '671', '21']
['671', '672', '21']
['672', '673', '21']
['673', '674', '21']
['674', '675', '21']
['675', '676', '21']
['676', '677', '21']
['677', '678', '21']
['678', '679', '21']
['679', '680', '21']
['680', '681', '21']
['682', '683', '22']
['683', '684', '22']
['684', '685', '22']
['685', '686', '22']
['686', '687', '22']
['687', '688', '22']
['688', '689', '22']
['689', '690', '22']
['690', '691', '22']
['691', '692', '22']
['692', '693', '22']
['693', '694', '22']
['694', '695', '22']
['695', '696', '22']
['696', '697', '22']
['697', '698', '22']
['698', '699', '22']
['699', '700', '22']
['700', '701', '22']
['701', '702', '22']
['702', '703', '22']
['703', '704', '22']
['704', '705', '22']
['705', '706', '22']
['706', '707', '22']
['707', '708', '22']
['708', '709', '22']
['709', '710', '22']
['710', '711', '22']
['711', '712', '22']
['713', '714', '23']
['714', '715', '23']
['715', '716', '23']
['716', '717', '23']
['717', '718', '23']
['718', '719', '23']
['719', '720', '23']
['720', '721', '23']
['721', '722', '23']
['722', '723', '23']
['723', '724', '23']
['724', '725', '23']
['725', '726', '23']
['726', '727', '23']
['727', '728', '23']
['728', '729', '23']
['729', '730', '23']
['730', '731', '23']
['731', '732', '23']
['732', '733', '23']
['733', '734', '23']
['734', '735', '23']
['735', '736', '23']
['736', '737', '23']
['737', '738', '23']
['738', '739', '23']
['739', '740', '23']
['740', '741', '23']
['741', '742', '23']
['742', '743', '23']
['744', '745', '24']
['745', '746', '24']
['746', '747', '24']
['747', '748', '24']
['748', '749', '24']
['749', '750', '24']
['750', '751', '24']
['751', '752', '24']
['752', '753', '24']
['753', '754', '24']
['754', '755', '24']
['755', '756', '24']
['756', '757', '24']
['757', '758', '24']
['758', '759', '24']
['759', '760', '24']
['760', '761', '24']
['761', '762', '24']
['762', '763', '24']
['763', '764', '24']
['764', '765', '24']
['765', '766', '24']
['766', '767', '24']
['767', '768', '24']
['768', '769', '24']
['769', '770', '24']
['770', '771', '24']
['771', '772', '24']
['772', '773', '24']
['773', '774', '24']
['775', '776', '25']
['776', '777', '25']
['777', '778', '25']
['778', '779', '25']
['779', '780', '25']
['780', '781', '25']
['781', '782', '25']
['782', '783', '25']
['783', '784', '25']
['784', '785', '25']
['785', '786', '25']
['786', '787', '25']
['787', '788', '25']
['788', '789', '25']
['789', '790', '25']
['790', '791', '25']
['791', '792', '25']
['792', '793', '25']
['793', '794', '25']
['794', '795', '25']
['795', '796', '25']
['796', '797', '25']
['797', '798', '25']
['798', '799', '25']
['799', '800', '25']
['800', '801', '25']
['801', '802', '25']
['802', '803', '25']
['803', '804', '25']
['804', '805', '25']
['806', '807', '26']
['807', '808', '26']
['808', '809', '26']
['809', '810', '26']
['810', '811', '26']
['811', '812', '26']
['812', '813', '26']
['813', '814', '26']
['814', '815', '26']
['815', '816', '26']
['816', '817', '26']
['817', '818', '26']
['818', '819', '26']
['819', '820', '26']
['820', '821', '26']
['821', '822', '26']
['822', '823', '26']
['823', '824', '26']
['824', '825', '26']
['825', '826', '26']
['826', '827', '26']
['827', '828', '26']
['828', '829', '26']
['829', '830', '26']
['830', '831', '26']
['831', '832', '26']
['832', '833', '26']
['833', '834', '26']
['834', '835', '26']
['835', '836', '26']
['837', '838', '27']
['838', '839', '27']
['839', '840', '27']
['840', '841', '27']
['841', '842', '27']
['842', '843', '27']
['843', '844', '27']
['844', '845', '27']
['845', '846', '27']
['846', '847', '27']
['847', '848', '27']
['848', '849', '27']
['849', '850', '27']
['850', '851', '27']
['851', '852', '27']
['852', '853', '27']
['853', '854', '27']
['854', '855', '27']
['855', '856', '27']
['856', '857', '27']
['857', '858', '27']
['858', '859', '27']
['859', '860', '27']
['860', '861', '27']
['861', '862', '27']
['862', '863', '27']
['863', '864', '27']
['864', '865', '27']
['865', '866', '27']
['866', '867', '27']
['868', '869', '28']
['869', '870', '28']
['870', '871', '28']
['871', '872', '28']
['872', '873', '28']
['873', '874', '28']
['874', '875', '28']
['875', '876', '28']
['876', '877', '28']
['877', '878', '28']
['878', '879', '28']
['879', '880', '28']
['880', '881', '28']
['881', '882', '28']
['882', '883', '28']
['883', '884', '28']
['884', '885', '28']
['885', '886', '28']
['886', '887', '28']
['887', '888', '28']
['888', '889', '28']
['889', '890', '28']
['890', '891', '28']
['891', '892', '28']
['892', '893', '28']
['893', '894', '28']
['894', '895', '28']
['895', '896', '28']
['896', '897', '28']
['897', '898', '28']
['899', '900', '29']
['900', '901', '29']
['901', '902', '29']
['902', '903', '29']
['903', '904', '29']
['904', '905', '29']
['905', '906', '29']
['906', '907', '29']
['907', '908', '29']
['908', '909', '29']
['909', '910', '29']
['910', '911', '29']
['911', '912', '29']
['912', '913', '29']
['913', '914', '29']
['914', '915', '29']
['915', '916', '29']
['916', '917', '29']
['917', '918', '29']
['918', '919', '29']
['919', '920', '29']
['920', '921', '29']
['921', '922', '29']
['922', '923', '29']
['923', '924', '29']
['924', '925', '29']
['925', '926', '29']
['926', '927', '29']
['927', '928', '29']
['928', '929', '29']
['930', '931', '30']
['931', '932', '30']
['932', '933', '30']
['933', '934', '30']
['934', '935', '30']
['935', '936', '30']
['936', '937', '30']
['937', '938', '30']
['938', '939', '30']
['939', '940', '30']
['940', '941', '30']
['941', '942', '30']
['942', '943', '30']
['943', '944', '30']
['944', '945', '30']
['945', '946', '30']
['946', '947', '30']
['947', '948', '30']
['948', '949', '30']
['949', '950', '30']
['950', '951', '30']
['951', '952', '30']
['952', '953', '30']
['953', '954', '30']
['954', '955', '30']
['955', '956', '30']
['956', '957', '30']
['957', '958', '30']
['958', '959', '30']
['959', '960', '30']
