77
13
['1', '81', '161', '6']
['1', '81', '641', '961', '6']
['1', '81', '721', '801', '6']
['1', '81', '721', '881', '6']
['1', '81', '721', '961', '6']
['1', '81', '801', '881', '6']
['1', '81', '801', '961', '6']
['1', '81', '881', '961', '6']
['1', '161', '241', '321', '12']
['1', '161', '241', '401', '12']
['1', '161', '241', '481', '12']
['1', '161', '241', '561', '12']
['1', '161', '241', '641', '12']
['1', '161', '241', '721', '12']
['1', '161', '241', '801', '12']
['1', '161', '241', '881', '12']
['1', '161', '241', '961', '12']
['1', '161', '321', '401', '12']
['1', '161', '321', '481', '12']
['1', '161', '321', '561', '12']
['1', '161', '321', '641', '12']
['1', '161', '321', '721', '12']
['1', '161', '321', '801', '12']
['1', '161', '321', '881', '12']
['1', '161', '321', '961', '12']
['1', '161', '401', '481', '12']
['1', '161', '401', '561', '12']
['1', '161', '401', '641', '12']
['1', '161', '401', '721', '12']
['1', '161', '401', '801', '12']
['1', '161', '401', '881', '12']
['1', '161', '401', '961', '12']
['1', '161', '481', '561', '12']
['1', '161', '481', '641', '12']
['1', '161', '481', '721', '12']
['1', '161', '481', '801', '12']
['1', '161', '481', '881', '12']
['1', '161', '481', '961', '12']
['1', '161', '561', '641', '12']
['1', '161', '561', '721', '12']
['1', '161', '561', '801', '12']
['1', '161', '561', '881', '12']
['1', '161', '561', '961', '12']
['1', '161', '641', '721', '12']
['1', '161', '641', '801', '12']
['1', '161', '641', '881', '12']
['1', '161', '641', '961', '12']
['1', '161', '721', '801', '12']
['1', '161', '721', '881', '12']
['1', '161', '721', '961', '12']
['1', '161', '801', '881', '12']
['1', '161', '801', '961', '12']
['1', '161', '881', '961', '12']
['1', '241', '321', '401', '18']
['1', '241', '321', '481', '18']
['1', '241', '321', '561', '18']
['1', '241', '321', '641', '18']
['1', '241', '321', '721', '18']
['1', '241', '321', '801', '18']
['1', '241', '321', '881', '18']
['1', '241', '321', '961', '18']
['1', '241', '401', '481', '18']
['1', '241', '401', '561', '18']
['1', '241', '401', '641', '18']
['1', '241', '401', '721', '18']
['1', '241', '401', '801', '18']
['1', '241', '401', '881', '18']
['1', '241', '401', '961', '18']
['1', '241', '481', '561', '18']
['1', '241', '481', '641', '18']
['1', '241', '481', '721', '18']
['1', '241', '481', '801', '18']
['1', '241', '481', '881', '18']
['1', '241', '481', '961', '18']
['1', '241', '561', '641', '18']
['1', '241', '561', '721', '18']
['1', '241', '561', '801', '18']
['1', '241', '561', '881', '18']
['1', '241', '561', '961', '18']
['1', '241', '641', '721', '18']
['1', '241', '641', '801', '18']
['1', '241', '641', '881', '18']
['1', '241', '641', '961', '18']
['1', '241', '721', '801', '18']
['1', '241', '721', '881', '18']
['1', '241', '721', '961', '18']
['1', '241', '801', '881', '18']
['1', '241', '801', '961', '18']
['1', '241', '881', '961', '18']
['1', '321', '401', '481', '24']
['1', '321', '401', '561', '24']
['1', '321', '401', '641', '24']
['1', '321', '401', '721', '24']
['1', '321', '401', '801', '24']
['1', '321', '401', '881', '24']
['1', '321', '401', '961', '24']
['1', '321', '481', '561', '24']
['1', '321', '481', '641', '24']
['1', '321', '481', '721', '24']
['1', '321', '481', '801', '24']
['1', '321', '481', '881', '24']
['1', '321', '481', '961', '24']
['1', '321', '561', '641', '24']
['1', '321', '561', '721', '24']
['1', '321', '561', '801', '24']
['1', '321', '561', '881', '24']
['1', '321', '561', '961', '24']
['1', '321', '641', '721', '24']
['1', '321', '641', '801', '24']
['1', '321', '641', '881', '24']
['1', '321', '641', '961', '24']
['1', '321', '721', '801', '24']
['1', '321', '721', '881', '24']
['1', '321', '721', '961', '24']
['1', '321', '801', '881', '24']
['1', '321', '801', '961', '24']
['1', '321', '881', '961', '24']
['1', '401', '481', '561', '30']
['1', '401', '481', '641', '30']
['1', '401', '481', '721', '30']
['1', '401', '481', '801', '30']
['1', '401', '481', '881', '30']
['1', '401', '481', '961', '30']
['1', '401', '561', '641', '30']
['1', '401', '561', '721', '30']
['1', '401', '561', '801', '30']
['1', '401', '561', '881', '30']
['1', '401', '561', '961', '30']
['1', '401', '641', '721', '30']
['1', '401', '641', '801', '30']
['1', '401', '641', '881', '30']
['1', '401', '641', '961', '30']
['1', '401', '721', '801', '30']
['1', '401', '721', '881', '30']
['1', '401', '721', '961', '30']
['1', '401', '801', '881', '30']
['1', '401', '801', '961', '30']
['1', '401', '881', '961', '30']
['1', '481', '561', '641', '37']
['1', '481', '561', '721', '37']
['1', '481', '561', '801', '37']
['1', '481', '561', '881', '37']
['1', '481', '561', '961', '37']
['1', '481', '641', '721', '37']
['1', '481', '641', '801', '37']
['1', '481', '641', '881', '37']
['1', '481', '641', '961', '37']
['1', '481', '721', '801', '37']
['1', '481', '721', '881', '37']
['1', '481', '721', '961', '37']
['1', '481', '801', '881', '37']
['1', '481', '801', '961', '37']
['1', '481', '881', '961', '37']
['1', '561', '641', '721', '43']
['1', '561', '641', '801', '43']
['1', '561', '641', '881', '43']
['1', '561', '641', '961', '43']
['1', '561', '721', '801', '43']
['1', '561', '721', '881', '43']
['1', '561', '721', '961', '43']
['1', '561', '801', '881', '43']
['1', '561', '801', '961', '43']
['1', '561', '881', '961', '43']
['1', '641', '721', '801', '49']
['1', '641', '721', '881', '49']
['1', '641', '721', '961', '49']
['1', '641', '801', '881', '49']
['1', '641', '801', '961', '49']
['1', '641', '881', '961', '49']
['1', '721', '801', '881', '55']
['1', '721', '801', '961', '55']
['1', '721', '881', '961', '55']
['1', '801', '881', '961', '61']
['81', '161', '241', '321', '6']
['81', '161', '241', '401', '6']
['81', '161', '241', '481', '6']
['81', '161', '241', '561', '6']
['81', '161', '241', '641', '6']
['81', '161', '241', '721', '6']
['81', '161', '241', '801', '6']
['81', '161', '241', '881', '6']
['81', '161', '241', '961', '6']
['81', '161', '321', '401', '6']
['81', '161', '321', '481', '6']
['81', '161', '321', '561', '6']
['81', '161', '321', '641', '6']
['81', '161', '321', '721', '6']
['81', '161', '321', '801', '6']
['81', '161', '321', '881', '6']
['81', '161', '321', '961', '6']
['81', '161', '401', '481', '6']
['81', '161', '401', '561', '6']
['81', '161', '401', '641', '6']
['81', '161', '401', '721', '6']
['81', '161', '401', '801', '6']
['81', '161', '401', '881', '6']
['81', '161', '401', '961', '6']
['81', '161', '481', '561', '6']
['81', '161', '481', '641', '6']
['81', '161', '481', '721', '6']
['81', '161', '481', '801', '6']
['81', '161', '481', '881', '6']
['81', '161', '481', '961', '6']
['81', '161', '561', '641', '6']
['81', '161', '561', '721', '6']
['81', '161', '561', '801', '6']
['81', '161', '561', '881', '6']
['81', '161', '561', '961', '6']
['81', '161', '641', '721', '6']
['81', '161', '641', '801', '6']
['81', '161', '641', '881', '6']
['81', '161', '641', '961', '6']
['81', '161', '721', '801', '6']
['81', '161', '721', '881', '6']
['81', '161', '721', '961', '6']
['81', '161', '801', '881', '6']
['81', '161', '801', '961', '6']
['81', '161', '881', '961', '6']
['81', '241', '321', '401', '6']
['81', '241', '321', '481', '6']
['81', '241', '321', '561', '6']
['81', '241', '321', '641', '6']
['81', '241', '321', '721', '6']
['81', '241', '321', '801', '6']
['81', '241', '321', '881', '6']
['81', '241', '321', '961', '6']
['81', '241', '401', '481', '6']
['81', '241', '401', '561', '6']
['81', '241', '401', '641', '6']
['81', '241', '401', '721', '6']
['81', '241', '401', '801', '6']
['81', '241', '401', '881', '6']
['81', '241', '401', '961', '6']
['81', '241', '481', '561', '6']
['81', '241', '481', '641', '6']
['81', '241', '481', '721', '6']
['81', '241', '481', '801', '6']
['81', '241', '481', '881', '6']
['81', '241', '481', '961', '6']
['81', '241', '561', '641', '6']
['81', '241', '561', '721', '6']
['81', '241', '561', '801', '6']
['81', '241', '561', '881', '6']
['81', '241', '561', '961', '6']
['81', '241', '641', '721', '6']
['81', '241', '641', '801', '6']
['81', '241', '641', '881', '6']
['81', '241', '641', '961', '6']
['81', '241', '721', '801', '6']
['81', '241', '721', '881', '6']
['81', '241', '721', '961', '6']
['81', '241', '801', '881', '6']
['81', '241', '801', '961', '6']
['81', '241', '881', '961', '6']
['81', '321', '401', '481', '6']
['81', '321', '401', '561', '6']
['81', '321', '401', '641', '6']
['81', '321', '401', '721', '6']
['81', '321', '401', '801', '6']
['81', '321', '401', '881', '6']
['81', '321', '401', '961', '6']
['81', '321', '481', '561', '6']
['81', '321', '481', '641', '6']
['81', '321', '481', '721', '6']
['81', '321', '481', '801', '6']
['81', '321', '481', '881', '6']
['81', '321', '481', '961', '6']
['81', '321', '561', '641', '6']
['81', '321', '561', '721', '6']
['81', '321', '561', '801', '6']
['81', '321', '561', '881', '6']
['81', '321', '561', '961', '6']
['81', '321', '641', '721', '6']
['81', '321', '641', '801', '6']
['81', '321', '641', '881', '6']
['81', '321', '641', '961', '6']
['81', '321', '721', '801', '6']
['81', '321', '721', '881', '6']
['81', '321', '721', '961', '6']
['81', '321', '801', '881', '6']
['81', '321', '801', '961', '6']
['81', '321', '881', '961', '6']
['81', '401', '481', '561', '6']
['81', '401', '481', '641', '6']
['81', '401', '481', '721', '6']
['81', '401', '481', '801', '6']
['81', '401', '481', '881', '6']
['81', '401', '481', '961', '6']
['81', '401', '561', '641', '6']
['81', '401', '561', '721', '6']
['81', '401', '561', '801', '6']
['81', '401', '561', '881', '6']
['81', '401', '561', '961', '6']
['81', '401', '641', '721', '6']
['81', '401', '641', '801', '6']
['81', '401', '641', '881', '6']
['81', '401', '641', '961', '6']
['81', '401', '721', '801', '6']
['81', '401', '721', '881', '6']
['81', '401', '721', '961', '6']
['81', '401', '801', '881', '6']
['81', '401', '801', '961', '6']
['81', '401', '881', '961', '6']
['81', '481', '561', '641', '6']
['81', '481', '561', '721', '6']
['81', '481', '561', '801', '6']
['81', '481', '561', '881', '6']
['81', '481', '561', '961', '6']
['81', '481', '641', '721', '6']
['81', '481', '641', '801', '6']
['81', '481', '641', '881', '6']
['81', '481', '641', '961', '6']
['81', '481', '721', '801', '6']
['81', '481', '721', '881', '6']
['81', '481', '721', '961', '6']
['81', '481', '801', '881', '6']
['81', '481', '801', '961', '6']
['81', '481', '881', '961', '6']
['81', '561', '641', '721', '6']
['81', '561', '641', '801', '6']
['81', '561', '641', '881', '6']
['81', '561', '641', '961', '6']
['81', '561', '721', '801', '6']
['81', '561', '721', '881', '6']
['81', '561', '721', '961', '6']
['81', '561', '801', '881', '6']
['81', '561', '801', '961', '6']
['81', '561', '881', '961', '6']
['81', '641', '721', '801', '6']
['81', '641', '721', '881', '6']
['81', '641', '721', '961', '6']
['81', '641', '801', '881', '6']
['81', '641', '801', '961', '6']
['81', '641', '881', '961', '6']
['81', '721', '801', '881', '6']
['81', '721', '801', '961', '6']
['81', '721', '881', '961', '6']
['81', '801', '881', '961', '6']
['161', '241', '321', '401', '12']
['161', '241', '321', '481', '12']
['161', '241', '321', '561', '12']
['161', '241', '321', '641', '12']
['161', '241', '321', '721', '12']
['161', '241', '321', '801', '12']
['161', '241', '321', '881', '12']
['161', '241', '321', '961', '12']
['161', '241', '401', '481', '12']
['161', '241', '401', '561', '12']
['161', '241', '401', '641', '12']
['161', '241', '401', '721', '12']
['161', '241', '401', '801', '12']
['161', '241', '401', '881', '12']
['161', '241', '401', '961', '12']
['161', '241', '481', '561', '12']
['161', '241', '481', '641', '12']
['161', '241', '481', '721', '12']
['161', '241', '481', '801', '12']
['161', '241', '481', '881', '12']
['161', '241', '481', '961', '12']
['161', '241', '561', '641', '12']
['161', '241', '561', '721', '12']
['161', '241', '561', '801', '12']
['161', '241', '561', '881', '12']
['161', '241', '561', '961', '12']
['161', '241', '641', '721', '12']
['161', '241', '641', '801', '12']
['161', '241', '641', '881', '12']
['161', '241', '641', '961', '12']
['161', '241', '721', '801', '12']
['161', '241', '721', '881', '12']
['161', '241', '721', '961', '12']
['161', '241', '801', '881', '12']
['161', '241', '801', '961', '12']
['161', '241', '881', '961', '12']
['161', '321', '401', '481', '12']
['161', '321', '401', '561', '12']
['161', '321', '401', '641', '12']
['161', '321', '401', '721', '12']
['161', '321', '401', '801', '12']
['161', '321', '401', '881', '12']
['161', '321', '401', '961', '12']
['161', '321', '481', '561', '12']
['161', '321', '481', '641', '12']
['161', '321', '481', '721', '12']
['161', '321', '481', '801', '12']
['161', '321', '481', '881', '12']
['161', '321', '481', '961', '12']
['161', '321', '561', '641', '12']
['161', '321', '561', '721', '12']
['161', '321', '561', '801', '12']
['161', '321', '561', '881', '12']
['161', '321', '561', '961', '12']
['161', '321', '641', '721', '12']
['161', '321', '641', '801', '12']
['161', '321', '641', '881', '12']
['161', '321', '641', '961', '12']
['161', '321', '721', '801', '12']
['161', '321', '721', '881', '12']
['161', '321', '721', '961', '12']
['161', '321', '801', '881', '12']
['161', '321', '801', '961', '12']
['161', '321', '881', '961', '12']
['161', '401', '481', '561', '12']
['161', '401', '481', '641', '12']
['161', '401', '481', '721', '12']
['161', '401', '481', '801', '12']
['161', '401', '481', '881', '12']
['161', '401', '481', '961', '12']
['161', '401', '561', '641', '12']
['161', '401', '561', '721', '12']
['161', '401', '561', '801', '12']
['161', '401', '561', '881', '12']
['161', '401', '561', '961', '12']
['161', '401', '641', '721', '12']
['161', '401', '641', '801', '12']
['161', '401', '641', '881', '12']
['161', '401', '641', '961', '12']
['161', '401', '721', '801', '12']
['161', '401', '721', '881', '12']
['161', '401', '721', '961', '12']
['161', '401', '801', '881', '12']
['161', '401', '801', '961', '12']
['161', '401', '881', '961', '12']
['161', '481', '561', '641', '12']
['161', '481', '561', '721', '12']
['161', '481', '561', '801', '12']
['161', '481', '561', '881', '12']
['161', '481', '561', '961', '12']
['161', '481', '641', '721', '12']
['161', '481', '641', '801', '12']
['161', '481', '641', '881', '12']
['161', '481', '641', '961', '12']
['161', '481', '721', '801', '12']
['161', '481', '721', '881', '12']
['161', '481', '721', '961', '12']
['161', '481', '801', '881', '12']
['161', '481', '801', '961', '12']
['161', '481', '881', '961', '12']
['161', '561', '641', '721', '12']
['161', '561', '641', '801', '12']
['161', '561', '641', '881', '12']
['161', '561', '641', '961', '12']
['161', '561', '721', '801', '12']
['161', '561', '721', '881', '12']
['161', '561', '721', '961', '12']
['161', '561', '801', '881', '12']
['161', '561', '801', '961', '12']
['161', '561', '881', '961', '12']
['161', '641', '721', '801', '12']
['161', '641', '721', '881', '12']
['161', '641', '721', '961', '12']
['161', '641', '801', '881', '12']
['161', '641', '801', '961', '12']
['161', '641', '881', '961', '12']
['161', '721', '801', '881', '12']
['161', '721', '801', '961', '12']
['161', '721', '881', '961', '12']
['161', '801', '881', '961', '12']
['241', '321', '401', '481', '18']
['241', '321', '401', '561', '18']
['241', '321', '401', '641', '18']
['241', '321', '401', '721', '18']
['241', '321', '401', '801', '18']
['241', '321', '401', '881', '18']
['241', '321', '401', '961', '18']
['241', '321', '481', '561', '18']
['241', '321', '481', '641', '18']
['241', '321', '481', '721', '18']
['241', '321', '481', '801', '18']
['241', '321', '481', '881', '18']
['241', '321', '481', '961', '18']
['241', '321', '561', '641', '18']
['241', '321', '561', '721', '18']
['241', '321', '561', '801', '18']
['241', '321', '561', '881', '18']
['241', '321', '561', '961', '18']
['241', '321', '641', '721', '18']
['241', '321', '641', '801', '18']
['241', '321', '641', '881', '18']
['241', '321', '641', '961', '18']
['241', '321', '721', '801', '18']
['241', '321', '721', '881', '18']
['241', '321', '721', '961', '18']
['241', '321', '801', '881', '18']
['241', '321', '801', '961', '18']
['241', '321', '881', '961', '18']
['241', '401', '481', '561', '18']
['241', '401', '481', '641', '18']
['241', '401', '481', '721', '18']
['241', '401', '481', '801', '18']
['241', '401', '481', '881', '18']
['241', '401', '481', '961', '18']
['241', '401', '561', '641', '18']
['241', '401', '561', '721', '18']
['241', '401', '561', '801', '18']
['241', '401', '561', '881', '18']
['241', '401', '561', '961', '18']
['241', '401', '641', '721', '18']
['241', '401', '641', '801', '18']
['241', '401', '641', '881', '18']
['241', '401', '641', '961', '18']
['241', '401', '721', '801', '18']
['241', '401', '721', '881', '18']
['241', '401', '721', '961', '18']
['241', '401', '801', '881', '18']
['241', '401', '801', '961', '18']
['241', '401', '881', '961', '18']
['241', '481', '561', '641', '18']
['241', '481', '561', '721', '18']
['241', '481', '561', '801', '18']
['241', '481', '561', '881', '18']
['241', '481', '561', '961', '18']
['241', '481', '641', '721', '18']
['241', '481', '641', '801', '18']
['241', '481', '641', '881', '18']
['241', '481', '641', '961', '18']
['241', '481', '721', '801', '18']
['241', '481', '721', '881', '18']
['241', '481', '721', '961', '18']
['241', '481', '801', '881', '18']
['241', '481', '801', '961', '18']
['241', '481', '881', '961', '18']
['241', '561', '641', '721', '18']
['241', '561', '641', '801', '18']
['241', '561', '641', '881', '18']
['241', '561', '641', '961', '18']
['241', '561', '721', '801', '18']
['241', '561', '721', '881', '18']
['241', '561', '721', '961', '18']
['241', '561', '801', '881', '18']
['241', '561', '801', '961', '18']
['241', '561', '881', '961', '18']
['241', '641', '721', '801', '18']
['241', '641', '721', '881', '18']
['241', '641', '721', '961', '18']
['241', '641', '801', '881', '18']
['241', '641', '801', '961', '18']
['241', '641', '881', '961', '18']
['241', '721', '801', '881', '18']
['241', '721', '801', '961', '18']
['241', '721', '881', '961', '18']
['241', '801', '881', '961', '18']
['321', '401', '481', '561', '24']
['321', '401', '481', '641', '24']
['321', '401', '481', '721', '24']
['321', '401', '481', '801', '24']
['321', '401', '481', '881', '24']
['321', '401', '481', '961', '24']
['321', '401', '561', '641', '24']
['321', '401', '561', '721', '24']
['321', '401', '561', '801', '24']
['321', '401', '561', '881', '24']
['321', '401', '561', '961', '24']
['321', '401', '641', '721', '24']
['321', '401', '641', '801', '24']
['321', '401', '641', '881', '24']
['321', '401', '641', '961', '24']
['321', '401', '721', '801', '24']
['321', '401', '721', '881', '24']
['321', '401', '721', '961', '24']
['321', '401', '801', '881', '24']
['321', '401', '801', '961', '24']
['321', '401', '881', '961', '24']
['321', '481', '561', '641', '24']
['321', '481', '561', '721', '24']
['321', '481', '561', '801', '24']
['321', '481', '561', '881', '24']
['321', '481', '561', '961', '24']
['321', '481', '641', '721', '24']
['321', '481', '641', '801', '24']
['321', '481', '641', '881', '24']
['321', '481', '641', '961', '24']
['321', '481', '721', '801', '24']
['321', '481', '721', '881', '24']
['321', '481', '721', '961', '24']
['321', '481', '801', '881', '24']
['321', '481', '801', '961', '24']
['321', '481', '881', '961', '24']
['321', '561', '641', '721', '24']
['321', '561', '641', '801', '24']
['321', '561', '641', '881', '24']
['321', '561', '641', '961', '24']
['321', '561', '721', '801', '24']
['321', '561', '721', '881', '24']
['321', '561', '721', '961', '24']
['321', '561', '801', '881', '24']
['321', '561', '801', '961', '24']
['321', '561', '881', '961', '24']
['321', '641', '721', '801', '24']
['321', '641', '721', '881', '24']
['321', '641', '721', '961', '24']
['321', '641', '801', '881', '24']
['321', '641', '801', '961', '24']
['321', '641', '881', '961', '24']
