['712', '858', '292', '408', '190', '921', '868', '836', '614', '324', '387', '233', '488', '916', '331', '308', '150', '857', '105', '657', '506', '94', '392', '264', '849', '66', '487', '448', '226', '375', '207']
['915', '929', '384', '157', '98', '219', '416', '895', '940', '132', '626', '393', '853', '764', '407', '109', '350', '716', '737', '505', '77', '307', '426', '244', '329', '638', '848', '566', '744', '818', '523']
['218', '760', '874', '738', '65', '559', '146', '401', '901', '567', '230', '495', '597', '967', '163', '922', '669', '195', '662', '362', '32', '986', '599', '537', '635', '300', '63', '936', '588', '162', '978']
['265', '312', '343', '483', '296', '497', '297', '486', '675', '577', '784', '547', '140', '237', '701', '947', '429', '3', '380', '397', '553', '500', '781', '221', '508', '110', '975', '423', '870', '888', '886']
['348', '138', '852', '746', '154', '158', '785', '511', '378', '39', '10', '282', '75', '436', '44', '93', '587', '201', '829', '176', '811', '434', '111', '410', '526', '304', '179', '313', '247', '804', '878']
['91', '42', '743', '69', '419', '747', '491', '97', '844', '36', '159', '477', '846', '268', '728', '904', '706', '509', '977', '733', '2', '580', '417', '703', '272', '236', '798', '749', '550', '409', '101']
['524', '914', '295', '192', '100', '388', '641', '863', '672', '290', '6', '892', '344', '520', '494', '890', '126', '970', '667', '285', '25', '867', '969', '355', '987', '259', '820', '694', '124', '623', '76']
['215', '691', '444', '554', '816', '180', '766', '386', '700', '542', '181', '654', '884', '267', '965', '184', '717', '996', '49', '931', '864', '582', '402', '475', '471', '465', '807', '927', '239', '525', '50']
['293', '682', '680', '842', '770', '776', '897', '485', '369', '531', '263', '556', '923', '851', '210', '58', '256', '574', '276']
['957', '365', '211', '46', '261', '90', '762', '757', '664', '127', '797', '254', '23', '72', '891', '82', '591', '413', '571', '145', '775', '780', '606', '532', '28', '151', '761', '59', '810', '714', '502']
['379', '8', '952', '605', '988', '725', '684', '983', '699', '578', '980', '697', '235', '875', '543', '514', '982', '284', '33', '231', '442', '453', '750', '315', '535', '612', '327', '48', '541', '118', '40']
['907', '116', '938', '572', '695', '277', '490', '414', '693', '799', '613', '731', '650', '826', '136', '533', '617', '457', '624', '558', '27', '450', '271', '724', '421', '845', '143', '546', '191', '551', '945']
['220', '683', '586', '412', '512', '229', '887', '405', '768', '790', '656', '763', '333', '754', '882', '223', '102', '498', '877', '581', '981', '20', '903', '391', '156', '998', '704', '909', '833', '734', '57']
['933', '721', '696', '689', '771', '275', '349', '625', '992', '862', '855', '119', '732', '677', '719', '47', '249', '248', '484', '729', '610', '679', '859', '104', '234', '342', '634', '86', '671', '459', '919']
['555', '962', '840', '552', '383', '659', '149', '745', '385', '896', '830', '958', '653', '209', '238', '257', '942', '615', '918', '288', '579', '354', '22', '447', '400', '396']
['476', '527', '782', '418', '212', '439', '80', '399', '772', '472', '142', '12', '243', '440', '197', '730', '812', '908', '854', '889', '357', '573', '800', '822', '647', '783', '155', '516', '503', '480', '621']
['185', '336', '83', '560', '827', '395', '120', '570', '340', '937', '242', '972', '568', '189', '305', '152', '469', '792', '103', '454', '646', '752', '563', '640', '1', '187', '148', '663', '522', '328', '722']
['690', '911', '287', '530', '24', '600', '452', '681', '540', '670', '13', '299', '604', '458', '948', '893', '529', '214', '758', '796', '924', '979', '787', '562', '513', '474', '144', '966', '70', '585', '170']
['814', '310', '351', '879', '881', '715', '316', '564', '666', '341', '899', '470', '141', '398', '60', '394', '789', '334', '910', '628', '227', '973', '81', '885', '198', '241', '928', '467', '96', '489', '147']
['199', '755', '363', '742', '107', '521', '464', '971', '31', '173', '642', '935', '335', '627', '433', '317', '504', '368', '492', '165', '252', '133', '202', '302', '309', '270', '166', '319', '332', '353', '825']
