['974', '446', '185', '421', '592', '287', '646', '372', '63', '52', '849', '986', '730', '330', '177', '872', '89', '577', '949', '604', '921', '348', '714', '354', '4']
['741', '880', '483', '273', '419', '946', '221', '601', '269', '230', '1', '134', '976', '214', '922', '6', '130', '131', '969', '85', '525', '308', '731', '387', '84']
['43', '636', '957', '848', '114', '428', '823', '854', '972', '537', '321', '99', '643', '616', '762', '451', '568', '801', '11', '940', '164', '405', '533', '857', '821']
['76', '702', '979', '916', '64', '501', '713', '157', '998', '536', '26', '963', '738', '651', '674', '516', '383', '162', '881', '323', '860', '224', '799', '777', '542']
['490', '670', '634', '452', '339', '937', '55', '229', '845', '529', '635', '344', '282', '139', '382', '977', '259', '698', '15', '262', '398', '417', '825', '789', '361']
['160', '567', '800', '864', '517', '340', '206', '754', '267', '370', '188', '515', '628', '40', '901', '45', '343', '243', '246', '712', '334', '834', '642', '625', '796']
['779', '673', '721', '453', '614', '983', '559', '176', '8', '346', '822', '20', '579', '39', '708', '484', '109', '747', '715', '753', '111', '924', '867', '540', '189']
['260', '672', '842', '594', '692', '905', '506', '437', '869', '576', '664', '788', '457', '121', '844', '251', '782', '412', '980', '810', '861', '615', '23', '140', '95']
['553', '352', '276', '624', '440', '203', '828', '426', '122', '423', '671', '87', '320', '353', '778', '414', '482', '584', '477', '638', '178', '141', '667', '613', '258']
['847', '600', '299', '133', '222', '835', '541', '794', '231', '41', '569', '37', '143', '947', '92', '629', '973', '435', '16', '990', '271', '418', '766', '903', '526']
['507', '83', '618', '565', '256', '574', '191', '132', '768', '194', '487', '919', '461', '120', '51', '944', '499', '590', '293', '369', '105', '701', '391', '500', '427']
['324', '530', '733', '703', '479', '863', '790', '205', '450', '263', '411', '725', '611', '910', '678', '884', '265', '734', '182', '649', '144', '815', '247', '167', '223']
['112', '787', '597', '915', '49', '645', '630', '493', '929', '473', '117', '817', '220', '846', '181', '612', '744', '272', '59', '824', '72', '496', '98', '740', '234']
['392', '562', '173', '909', '676', '102', '968', '945', '327', '599', '680', '238', '811', '495', '898', '474', '378', '394', '873', '54', '583', '155', '633', '827', '871']
['439', '543', '463', '935', '878', '78', '547', '311', '385', '227', '285', '325', '675', '57', '358', '684', '192', '128', '342', '816', '781', '97', '322', '902', '504']
['448', '585', '573', '953', '978', '785', '472', '773', '950', '208', '255', '104', '688', '350', '240', '716', '742', '621', '431', '758', '653', '814', '466', '587', '48']
['363', '862', '235', '793', '294', '631', '987', '896', '338', '560', '555', '564', '190', '808', '985', '447', '829', '291', '215', '316', '767', '605', '170', '627', '913']
['310', '0', '889', '548', '934', '261', '314', '88', '124', '403', '2', '853', '760', '204', '875', '123', '292', '74', '449', '288', '531', '780', '433', '347', '56']
['480', '152', '331', '856', '212', '174', '163', '374', '598', '984', '158', '523', '757', '890', '813', '832', '876', '345', '471', '809', '608', '304', '79', '77', '552']
['7', '948', '575', '887', '841', '991', '812', '663', '952', '333', '380', '217', '486', '938', '36', '739', '626', '198', '207', '992', '685', '538', '373', '465', '705']
['245', '17', '470', '491', '66', '280', '341', '38', '197', '687', '108', '661', '681', '175', '722', '769', '888', '908', '268', '213', '390', '67', '772', '659', '982']
['960', '186', '35', '317', '783', '248', '326', '850', '53', '956', '138', '877', '357', '366', '371', '640', '393', '283', '376', '751', '527', '993', '278', '110', '196']
['161', '683', '723', '150', '94', '544', '724', '852', '609', '882', '445', '400', '429', '148', '989', '180', '430', '971', '855', '226', '502', '362', '425', '10', '159']
['301', '719', '868', '172', '13', '195', '305', '798', '899', '695', '126', '851', '68', '24', '729', '274', '50', '892', '408', '603', '365', '686', '689', '759', '179']
['588', '693', '22', '395', '995', '756', '818', '837', '156', '335', '281', '356', '897', '951', '666', '717', '149', '70', '932', '593', '619', '561', '489', '503', '82']
