['619', '990', '752', '340', '368']
['468', '343', '344', '641', '250']
['947', '213', '831', '592', '547']
['179', '839', '458', '334', '371']
['756', '905', '365', '847', '219']
['397', '627', '930', '433', '582']
['8', '985', '562', '508', '743']
['445', '620', '635', '283', '868']
['145', '715', '857', '312', '421']
['335', '751', '130', '66', '554']
['51', '757', '376', '533', '292']
['618', '60', '353', '832', '842']
['41', '467', '958', '869', '599']
['140', '40', '242', '793', '734']
['202', '792', '597', '141', '856']
['559', '438', '23', '515', '76']
['422', '716', '148', '782', '82']
['534', '74', '490', '566', '237']
['201', '308', '860', '630', '194']
['760', '750', '131', '401', '372']
['457', '31', '423', '811', '18']
['346', '564', '238', '800', '355']
['88', '99', '266', '224', '293']
['470', '406', '259', '621', '830']
['722', '616', '177', '657', '273']
['380', '855', '5', '269', '910']
['367', '55', '20', '897', '771']
['898', '106', '395', '795', '415']
['701', '97', '923', '878', '887']
['306', '138', '851', '864', '132']
['671', '85', '375', '931', '487']
['260', '349', '634', '0', '705']
['836', '817', '431', '702', '530']
['654', '255', '934', '826', '466']
['996', '504', '945', '294', '453']
['670', '289', '798', '360', '666']
['622', '313', '561', '696', '424']
['549', '427', '545', '426', '683']
['662', '704', '598', '708', '7']
['79', '735', '919', '948', '208']
['740', '24', '893', '153', '437']
['274', '973', '679', '26', '969']
['995', '447', '135', '119', '402']
['652', '146', '251', '727', '264']
['35', '823', '59', '94', '418']
['600', '541', '44', '337', '493']
['205', '125', '50', '314', '843']
['489', '389', '310', '338', '115']
['514', '894', '596', '54', '214']
['53', '390', '315', '163', '386']
['967', '546', '647', '162', '955']
['908', '15', '639', '538', '443']
['211', '870', '797', '645', '478']
['49', '248', '369', '656', '71']
['899', '166', '379', '788', '791']
['719', '68', '576', '498', '191']
['766', '89', '95', '460', '753']
['874', '417', '282', '265', '410']
['984', '91', '780', '777', '252']
['180', '625', '462', '356', '333']
['574', '951', '925', '144', '724']
['167', '291', '591', '134', '253']
['963', '983', '278', '13', '610']
['482', '271', '604', '539', '585']
['794', '703', '790', '240', '553']
['203', '45', '309', '69', '189']
['280', '586', '197', '175', '929']
['142', '215', '673', '834', '185']
['377', '495', '261', '879', '556']
['383', '164', '127', '730', '103']
['227', '721', '117', '254', '184']
['961', '975', '73', '339', '739']
['537', '555', '901', '767', '529']
['494', '124', '105', '329', '660']
['976', '21', '884', '123', '80']
['903', '183', '160', '436', '998']
['17', '405', '875', '738', '385']
['741', '39', '914', '522', '663']
['268', '279', '393', '136', '583']
['775', '658', '234', '710', '57']
['364', '243', '871', '485', '488']
['100', '128', '786', '384', '638']
['536', '557', '11', '281', '759']
['613', '510', '236', '195', '783']
['477', '828', '558', '317', '392']
['940', '496', '217', '924', '911']
['765', '873', '623', '245', '964']
['693', '108', '419', '350', '837']
['631', '61', '104', '746', '507']
['678', '687', '677', '813', '895']
['518', '56', '476', '173', '239']
['92', '143', '43', '991', '440']
['624', '590', '816', '270', '38']
