['225', '928', '716', '971', '941', '86', '150']
['159', '553', '756', '659', '503']
['417', '586', '808', '376', '677', '186', '870']
['905', '406', '852', '703', '45', '934', '170']
['585', '708', '715', '758', '876', '787', '195']
['96', '299', '821', '117', '68', '612', '272']
['882', '896', '848', '887', '119', '951', '253']
['224', '899', '266', '129', '337', '169', '457']
['960', '890', '790', '242', '772', '453', '840']
['156', '605', '380', '542', '244', '231', '846']
['560', '533', '80', '60', '685', '629', '504']
['527', '304', '190', '878', '422', '19', '816']
['54', '506', '829', '398', '619', '75', '219']
['784', '418', '254', '476', '385', '440', '540']
['26', '777', '658', '741', '442', '465', '46']
['779', '431', '655', '445', '448', '681', '144']
['164', '739', '291', '963', '27', '642', '107']
['969', '510', '722', '471', '610', '470', '482']
['786', '285', '918', '437', '844', '689', '811']
['640', '588', '956', '77', '404', '386', '740']
['499', '67', '215', '89', '72', '282', '116']
['305', '809', '220', '288', '764', '314', '919']
['864', '894', '495', '472', '871', '308', '620']
['100', '753', '818', '769', '358', '755', '749']
['904', '732', '359', '593', '336', '259', '222']
['512', '950', '452', '391', '793', '91', '635']
['513', '820', '201', '185', '912', '651', '893']
['372', '478', '344', '62', '257', '488', '661']
['915', '582', '555', '479', '183', '319', '235']
['945', '35', '824', '781', '218', '133', '531']
['638', '776', '9', '178', '63', '567', '34']
['210', '468', '748', '166', '136', '83', '356']
['44', '184', '203', '785', '247', '303', '782']
['855', '652', '800', '360', '387', '357', '425']
['411', '429', '935', '628', '711', '528', '537']
['817', '74', '271', '548', '108', '320', '296']
['702', '132', '371', '923', '530']
['583', '717', '559', '73', '707', '120', '598']
['142', '403', '361', '59', '29', '649', '264']
['98', '191', '388', '563', '754', '720', '12']
['39', '419', '310', '188', '813', '668', '433']
['854', '916', '653', '683', '410', '606', '687']
['126', '729']
['255', '615', '48', '50', '490', '796', '103']
['812', '467', '290', '892', '477', '641', '792']
['30', '151', '292', '395', '464', '328', '3']
['883', '302', '475', '858', '745', '99', '214']
['966', '342', '617', '827', '788', '416', '37']
['135', '494', '354', '679', '767', '734', '515']
['426', '856', '938', '284', '518', '522', '389']
['591', '913']
['845', '175', '599', '958', '239', '105', '211']
['831', '822', '750', '208', '200', '377', '727']
['517', '335', '647', '396', '770', '298', '872']
['199', '276', '705', '737', '8', '536', '797']
['21', '286', '414', '216', '627', '728', '595']
['90', '69', '163', '373', '149', '160', '660']
['420', '650', '621', '906', '112', '714', '520']
['511', '718', '670', '81', '693', '480', '804']
['879', '245', '851', '922', '775', '783', '656']
['139', '873', '293', '4', '601', '198']
['79', '581', '331', '626', '13', '911', '794']
['850', '316', '179', '839', '405', '23', '261']
['384', '193', '28', '134', '140', '143', '460']
['194', '577', '493', '196', '251', '289', '451']
['544', '382', '519', '43', '484', '212', '229']
['287', '665', '243']
['964', '507', '402', '814', '597', '38', '324']
['736', '965', '241', '505', '315', '278', '327']
['744', '51', '334', '489', '279', '691', '127']
['571', '92', '614', '423', '952', '232', '273']
['483', '11', '345', '700', '763', '666', '122']
['943', '875', '877', '815', '594', '575', '623']
['352', '825', '939', '778', '15', '252', '350']
['646', '832', '897', '249', '456', '55', '16']
['696', '333', '277', '461', '884', '914', '363']
['631', '5', '432', '954', '924', '957', '454']
['145', '710', '949', '221', '834', '481', '669']
['592', '549', '861', '113', '115', '365', '236']
['339', '558']
['738', '572', '747', '393', '41', '752', '672']
['841', '833', '206', '946', '648', '881', '466']
['400', '14', '538', '509', '121', '311', '383']
['556', '600', '698', '618', '664', '280', '326']
['868', '36', '93', '187', '262', '539', '579']
['613', '47', '250', '933', '624', '227', '275']
['1', '31', '97', '348', '323', '907', '351']
['415', '2', '847', '158', '920', '353', '819']
['283', '766', '678', '274', '106', '562', '17']
['265', '546', '955', '213', '412', '25', '447']
['697', '921', '516', '52', '246', '932', '230']
['124', '543', '862', '970', '148', '260', '925']
['757', '791', '22', '240', '552', '578', '948']
