['971', '417', '959']
['148', '953', '973']
['890', '440', '2']
['288', '463', '426']
['576', '337', '520']
['377', '946', '394']
['550', '92', '880']
['694', '506', '761']
['207', '650', '407']
['661', '47', '909']
['584', '615', '916']
['140', '772', '816']
['624', '72', '521']
['70', '61', '109']
['536', '178', '734']
['360', '96', '771']
['991', '808', '690']
['896', '645', '57']
['617', '647', '577']
['976', '568', '204']
['358', '504', '367']
['369', '756', '831']
['220', '912', '644']
['989', '846', '861']
['768']
['81', '156', '598']
['629', '375', '512']
['214', '218', '103']
['518', '324', '458']
['684', '184', '226']
['239', '788', '256']
['566', '223', '519']
['338', '793', '395']
['397', '442', '157']
['491', '834', '147']
['300', '128', '606']
['283', '30', '133']
['656', '284', '234']
['409', '632', '646']
['171', '464', '11']
['421', '209', '932']
['531', '497', '789']
['594', '151', '555']
['689', '837', '558']
['893', '659', '778']
['997', '468', '384']
['446', '86', '496']
['241', '499', '390']
['34', '503', '187']
['840', '261', '43']
['391', '330', '131']
