40
35
['515', '563', '777', '832', '845']
['95', '249', '261', '625', '947']
['301', '308', '397', '813', '875']
['49', '188', '260', '722', '749']
['203', '410', '629', '842', '851']
['46', '132', '356', '883', '896']
['11', '654', '776', '809', '881']
['77', '430', '555', '680', '998']
['158', '244', '433', '659', '967']
['273', '303', '334', '688', '906']
['158', '433', '555', '680', '896']
['77', '273', '688', '881', '998']
['46', '132', '334', '430', '883']
['303', '654', '659', '776', '906']
['11', '244', '356', '809', '967']
['11', '244', '881', '883', '998']
['46', '132', '334', '688', '896']
['430', '433', '555', '659', '680']
['303', '776', '809', '906', '967']
['77', '158', '273', '356', '654']
['171', '291', '355', '611', '726']
['32', '129', '257', '705', '983']
['218', '238', '443', '653', '805']
['337', '687', '698', '718', '940']
['438', '445', '531', '862', '865']
['443', '705', '718', '862', '865']
['32', '291', '438', '726', '940']
['238', '445', '698', '805', '983']
['171', '257', '355', '611', '653']
['129', '218', '337', '531', '687']
['291', '438', '718', '805', '940']
['218', '337', '445', '726', '862']
['443', '611', '653', '705', '865']
['32', '238', '355', '687', '698']
['129', '171', '257', '531', '983']
['42', '282', '657', '746', '996']
['172', '781', '857', '914', '981']
['137', '826', '829', '899', '923']
['83', '206', '604', '614', '799']
['242', '495', '557', '660', '884']
['83', '172', '495', '657', '660']
['206', '242', '614', '884', '981']
['42', '781', '799', '829', '899']
['557', '604', '857', '923', '996']
['137', '282', '746', '826', '914']
['172', '282', '657', '829', '914']
['83', '495', '746', '899', '923']
['137', '604', '799', '884', '981']
['206', '557', '660', '857', '996']
['42', '242', '614', '781', '826']
['205', '396', '532', '608', '815']
['213', '264', '272', '597', '854']
['349', '506', '533', '788', '979']
['286', '361', '494', '816', '926']
['8', '537', '656', '701', '768']
['264', '537', '608', '768', '815']
['213', '361', '788', '816', '926']
['8', '272', '597', '656', '979']
['286', '396', '494', '532', '533']
['205', '349', '506', '701', '854']
['396', '533', '768', '854', '979']
['272', '349', '494', '656', '701']
['264', '597', '788', '815', '816']
['213', '286', '506', '532', '537']
['8', '205', '361', '608', '926']
['29', '344', '528', '565', '771']
['168', '613', '646', '915', '970']
['23', '64', '491', '513', '803']
['229', '274', '386', '758', '811']
['99', '511', '561', '671', '955']
['491', '528', '613', '771', '970']
['513', '565', '646', '758', '803']
['229', '344', '386', '561', '811']
['64', '99', '168', '511', '955']
['23', '29', '274', '671', '915']
['229', '344', '511', '513', '561']
['168', '386', '671', '811', '955']
['99', '274', '565', '758', '803']
['23', '64', '528', '915', '970']
['29', '491', '613', '646', '771']
['165', '615', '631', '644', '694']
['2', '292', '444', '628', '679']
['52', '115', '211', '224', '946']
['302', '627', '662', '885', '951']
['71', '78', '312', '470', '509']
['71', '115', '302', '628', '951']
['312', '470', '509', '615', '679']
['2', '165', '631', '694', '885']
['52', '78', '224', '292', '946']
['211', '444', '627', '644', '662']
['312', '444', '509', '631', '946']
['165', '470', '644', '694', '885']
['211', '292', '302', '628', '679']
['52', '78', '224', '615', '951']
['2', '71', '115', '627', '662']
['67', '338', '420', '466', '786']
['30', '57', '240', '691', '835']
['94', '243', '744', '798', '878']
['63', '294', '366', '530', '869']
['20', '41', '266', '783', '969']
['63', '744', '798', '835', '969']
['243', '294', '420', '786', '878']
['30', '57', '67', '94', '530']
['20', '41', '338', '366', '869']
['240', '266', '466', '691', '783']
['30', '243', '783', '835', '878']
['338', '466', '691', '786', '798']
['20', '67', '94', '240', '969']
['41', '63', '266', '294', '744']
['57', '366', '420', '530', '869']
['167', '422', '664', '719', '841']
['431', '468', '549', '589', '766']
['120', '280', '350', '859', '931']
['21', '122', '446', '636', '888']
['87', '333', '425', '432', '547']
['120', '422', '589', '841', '888']
['280', '432', '446', '766', '859']
['350', '549', '636', '664', '931']
['87', '333', '425', '431', '547']
['21', '122', '167', '468', '719']
['333', '422', '432', '664', '766']
['431', '636', '719', '888', '931']
['87', '120', '167', '280', '547']
['21', '122', '446', '468', '589']
['350', '425', '549', '841', '859']
['140', '210', '764', '772', '778']
['104', '111', '271', '724', '757']
['9', '315', '322', '891', '956']
['190', '275', '299', '638', '794']
['318', '423', '568', '666', '919']
['275', '318', '638', '772', '794']
['315', '423', '568', '666', '757']
['9', '271', '299', '764', '919']
['104', '111', '140', '891', '956']
['190', '210', '322', '724', '778']
['9', '111', '638', '772', '956']
['322', '423', '757', '764', '794']
['104', '140', '315', '778', '891']
['299', '318', '568', '724', '919']
['190', '210', '271', '275', '666']
['404', '567', '661', '737', '769']
['246', '353', '690', '831', '977']
['86', '394', '765', '780', '935']
['200', '228', '309', '347', '908']
['79', '101', '230', '429', '820']
['101', '246', '769', '820', '908']
['79', '404', '661', '831', '935']
['200', '309', '429', '567', '690']
['228', '353', '737', '765', '780']
['86', '230', '347', '394', '977']
['228', '567', '661', '737', '935']
['86', '200', '230', '347', '690']
['309', '765', '780', '820', '831']
['79', '246', '353', '429', '769']
['101', '394', '404', '908', '977']
['18', '189', '393', '406', '475']
['3', '34', '136', '440', '620']
['147', '235', '573', '580', '747']
['24', '144', '164', '497', '552']
['12', '59', '327', '762', '850']
['3', '18', '59', '235', '850']
['12', '144', '573', '580', '762']
['164', '189', '497', '552', '620']
['34', '147', '393', '406', '475']
['24', '136', '327', '440', '747']
['164', '235', '497', '573', '762']
['3', '24', '136', '327', '393']
['34', '475', '552', '620', '850']
['12', '18', '144', '147', '440']
['59', '189', '406', '580', '747']
['128', '375', '550', '571', '735']
['517', '590', '596', '605', '756']
['267', '354', '525', '675', '728']
['209', '323', '469', '483', '913']
['207', '220', '540', '546', '569']
['469', '517', '525', '569', '756']
['128', '220', '267', '375', '596']
['323', '354', '546', '605', '675']
['209', '483', '540', '550', '728']
['207', '571', '590', '735', '913']
['220', '483', '569', '596', '735']
['323', '375', '571', '728', '756']
['128', '469', '517', '590', '913']
['207', '267', '525', '550', '605']
['209', '354', '540', '546', '675']
['149', '548', '586', '695', '836']
['377', '378', '395', '738', '872']
['196', '407', '686', '823', '917']
['276', '599', '637', '740', '873']
['134', '376', '925', '987', '997']
['376', '377', '378', '925', '997']
['276', '586', '637', '872', '917']
['395', '548', '695', '740', '823']
['134', '149', '196', '836', '987']
['407', '599', '686', '738', '873']
['134', '548', '872', '925', '987']
['395', '407', '637', '686', '738']
['196', '276', '377', '823', '873']
['149', '376', '378', '695', '740']
['586', '599', '836', '917', '997']
['408', '553', '668', '751', '787']
['10', '127', '256', '451', '453']
['142', '560', '912', '965', '974']
['310', '391', '754', '953', '958']
['26', '640', '649', '792', '936']
['10', '127', '553', '936', '965']
['26', '453', '640', '787', '974']
['256', '408', '751', '792', '953']
['310', '560', '754', '912', '958']
['142', '391', '451', '649', '668']
['408', '451', '640', '787', '912']
['453', '754', '792', '958', '965']
['26', '142', '310', '391', '553']
['127', '649', '668', '751', '936']
['10', '256', '560', '953', '974']
['138', '187', '194', '245', '482']
['62', '155', '487', '630', '785']
['28', '316', '767', '893', '975']
['186', '231', '252', '385', '843']
['81', '121', '215', '551', '890']
['81', '187', '231', '551', '785']
['138', '186', '194', '245', '487']
['252', '385', '482', '890', '975']
['155', '215', '630', '843', '893']
['28', '62', '121', '316', '767']
['28', '62', '316', '487', '630']
['186', '385', '482', '767', '843']
['155', '187', '194', '231', '890']
['121', '215', '551', '893', '975']
['81', '138', '245', '252', '785']
['192', '293', '321', '578', '645']
['236', '647', '822', '932', '964']
['27', '554', '797', '812', '905']
['435', '462', '684', '712', '911']
['250', '268', '339', '609', '697']
['27', '647', '697', '712', '797']
['578', '645', '684', '812', '911']
['236', '250', '268', '293', '462']
['192', '321', '554', '905', '932']
['339', '435', '609', '822', '964']
['293', '321', '554', '645', '911']
['339', '578', '697', '712', '905']
['462', '609', '647', '822', '964']
['236', '250', '268', '797', '812']
['27', '192', '435', '684', '932']
['108', '159', '441', '534', '930']
['16', '175', '185', '335', '538']
['241', '398', '703', '721', '924']
['169', '239', '284', '380', '591']
['50', '75', '413', '558', '685']
['75', '335', '380', '534', '703']
['16', '50', '239', '398', '685']
['108', '159', '175', '185', '241']
['169', '284', '413', '591', '930']
['441', '538', '558', '721', '924']
['241', '413', '534', '558', '930']
['108', '159', '284', '685', '703']
['50', '75', '380', '441', '538']
['185', '239', '335', '398', '591']
['16', '169', '175', '721', '924']
['434', '527', '622', '672', '886']
['98', '176', '607', '643', '713']
['285', '481', '562', '681', '904']
['201', '479', '707', '779', '941']
['96', '199', '297', '704', '775']
['285', '434', '481', '643', '681']
['98', '199', '297', '622', '779']
['201', '562', '713', '775', '904']
['176', '479', '527', '704', '941']
['96', '607', '672', '707', '886']
['201', '562', '681', '704', '707']
['98', '643', '672', '713', '775']
['96', '285', '297', '607', '904']
['199', '481', '527', '622', '941']
['176', '434', '479', '779', '886']
['13', '133', '477', '634', '928']
['370', '450', '460', '807', '847']
['19', '39', '417', '524', '861']
['102', '802', '834', '871', '993']
['416', '570', '593', '610', '760']
['133', '610', '634', '807', '847']
['13', '39', '416', '570', '760']
['370', '417', '460', '477', '593']
['524', '834', '871', '928', '993']
['19', '102', '450', '802', '861']
['370', '416', '634', '834', '847']
['13', '133', '417', '460', '871']
['19', '524', '593', '760', '993']
['102', '450', '477', '570', '928']
['39', '610', '802', '807', '861']
['154', '217', '341', '518', '989']
['208', '342', '371', '632', '706']
['5', '88', '325', '600', '808']
['125', '178', '283', '493', '991']
['179', '248', '564', '689', '784']
['88', '325', '493', '706', '991']
['5', '248', '341', '600', '989']
['154', '283', '371', '564', '689']
['125', '178', '179', '217', '808']
['208', '342', '518', '632', '784']
['5', '342', '706', '784', '991']
['125', '248', '371', '493', '808']
['154', '179', '217', '341', '564']
['518', '600', '632', '689', '989']
['88', '178', '208', '283', '325']
['80', '177', '295', '360', '791']
['25', '103', '471', '498', '736']
['1', '107', '473', '559', '952']
['319', '365', '529', '635', '839']
['14', '33', '195', '602', '938']
['25', '33', '80', '471', '839']
['14', '107', '195', '498', '791']
['103', '319', '360', '473', '559']
['1', '529', '602', '938', '952']
['177', '295', '365', '635', '736']
['471', '498', '529', '736', '938']
['107', '473', '559', '635', '791']
['80', '195', '295', '365', '839']
['1', '14', '103', '177', '319']
['25', '33', '360', '602', '952']
['146', '191', '198', '773', '855']
['68', '234', '358', '499', '544']
['442', '508', '594', '739', '793']
['163', '259', '389', '585', '910']
['258', '504', '521', '619', '819']
['146', '191', '544', '739', '819']
['198', '358', '499', '793', '910']
['259', '508', '585', '594', '619']
['68', '234', '389', '442', '521']
['163', '258', '504', '773', '855']
['146', '258', '442', '508', '585']
['68', '521', '544', '739', '793']
['499', '594', '819', '855', '910']
['163', '191', '259', '389', '619']
['198', '234', '358', '504', '773']
['22', '112', '522', '667', '810']
['151', '516', '742', '909', '992']
['324', '427', '796', '962', '999']
['31', '37', '492', '624', '922']
['650', '720', '867', '870', '874']
['22', '427', '796', '810', '909']
['31', '151', '667', '742', '999']
['112', '516', '522', '867', '962']
['324', '492', '874', '922', '992']
['37', '624', '650', '720', '870']
['22', '324', '427', '742', '867']
['31', '522', '796', '810', '870']
['492', '516', '624', '667', '992']
['37', '112', '151', '650', '874']
['720', '909', '922', '962', '999']
['251', '519', '674', '755', '920']
['130', '131', '278', '364', '369']
['141', '180', '458', '566', '592']
['225', '332', '618', '652', '748']
['383', '457', '581', '804', '990']
['180', '332', '581', '748', '804']
['141', '225', '457', '458', '519']
['131', '251', '652', '755', '920']
['130', '364', '369', '566', '990']
['278', '383', '592', '618', '674']
['131', '180', '652', '748', '755']
['141', '225', '519', '618', '674']
['251', '364', '383', '458', '581']
['278', '332', '369', '457', '566']
['130', '592', '804', '920', '990']
['390', '503', '682', '903', '972']
['124', '162', '708', '892', '986']
['616', '745', '863', '942', '980']
['7', '328', '368', '542', '717']
['575', '621', '639', '894', '945']
['124', '390', '575', '621', '972']
['162', '368', '503', '945', '980']
['328', '542', '616', '639', '986']
['7', '682', '717', '892', '903']
['708', '745', '863', '894', '942']
['328', '368', '745', '892', '972']
['575', '616', '682', '894', '942']
['7', '124', '717', '903', '945']
['162', '390', '542', '708', '863']
['503', '621', '639', '980', '986']
['160', '216', '467', '677', '918']
['65', '279', '320', '510', '828']
['74', '100', '105', '117', '486']
['447', '464', '699', '723', '880']
['109', '145', '436', '439', '601']
['100', '117', '216', '436', '464']
['279', '320', '447', '467', '880']
['65', '105', '145', '160', '699']
['74', '601', '677', '723', '918']
['109', '439', '486', '510', '828']
['65', '109', '117', '216', '510']
['74', '105', '279', '447', '918']
['100', '145', '160', '699', '828']
['436', '467', '601', '677', '880']
['320', '439', '464', '486', '723']
['92', '421', '474', '774', '994']
['214', '418', '598', '966', '976']
['45', '150', '663', '889', '944']
['35', '47', '204', '226', '523']
['40', '58', '82', '800', '907']
['35', '47', '226', '474', '774']
['214', '598', '944', '966', '976']
['45', '58', '150', '889', '907']
['40', '92', '418', '523', '663']
['82', '204', '421', '800', '994']
['40', '58', '92', '663', '976']
['45', '47', '774', '944', '994']
['35', '82', '150', '800', '966']
['214', '418', '523', '598', '889']
['204', '226', '421', '474', '907']
['237', '314', '402', '734', '954']
['61', '70', '170', '340', '984']
['255', '352', '373', '411', '877']
['153', '642', '673', '716', '921']
['233', '539', '725', '856', '950']
['255', '340', '539', '725', '921']
['153', '233', '673', '734', '877']
['61', '237', '642', '716', '954']
['70', '170', '402', '411', '950']
['314', '352', '373', '856', '984']
['170', '402', '411', '725', '877']
['61', '237', '340', '539', '921']
['153', '856', '950', '954', '984']
['70', '255', '642', '716', '734']
['233', '314', '352', '373', '673']
