['DUAEB', 'DCJPL', 'CUUFQ', 'HXXMK', 'PSZDK']
['MQDQQ', 'CSQHY', 'ZRVWH', 'FZBVB', 'KXMSB']
['THQAC', 'GVYUW', 'GUDYJ', 'KCHSD', 'KEMJT']
['SFQST', 'YJPCO', 'IRAUO', 'TBPZM', 'MESKQ']
['NHQWU', 'CPTCX', 'HWSJL', 'XBLXM', 'UGVLA']
['EHHWX', 'AICHQ', 'ABYHN', 'IAMKK', 'VVCGQ']
['WDGCR', 'XEEVL', 'WWYEF', 'HAXVF', 'RQZPM']
['WOIJX', 'TFEWH', 'ZJQQO', 'LYGHF', 'CLLNQ']
['PXCKJ', 'OQSOU', 'QQXNO', 'HTJHJ', 'AGDTK']
['RJIED', 'ERTVL', 'RDCTS', 'MIKDS', 'GICKM']
['DFBMK', 'GEQFC', 'JEBNF', 'EBLCO', 'JCOPI']
